                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.59852,                0.51444,                 1.0428,                0.97624,                0.96729,                0.99045,                0.91347,                0.41265,                0.34578,                0.89148,               0.000416,               0.000416,               0.000416
                     82,                0.58808,                 0.5042,                 1.0413,                0.97197,                0.97208,                0.99141,                 0.9136,                0.42877,                0.33366,                0.89145,              0.0003962,              0.0003962,              0.0003962
                     83,                0.59278,                0.50509,                 1.0429,                0.98261,                0.96788,                0.99233,                0.92237,                0.40963,                 0.3323,                0.88314,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.5741,                0.50249,                 1.0345,                0.98565,                0.96317,                0.99228,                0.91843,                0.41642,                0.32529,                0.87982,              0.0003566,              0.0003566,              0.0003566
                     85,                0.58644,                 0.5107,                 1.0483,                0.98525,                 0.9704,                0.99278,                0.92511,                0.39049,                0.31452,                0.87487,              0.0003368,              0.0003368,              0.0003368
                     86,                0.57064,                 0.4843,                 1.0326,                0.98804,                0.96573,                0.99255,                0.92738,                0.38628,                0.31117,                0.87263,               0.000317,               0.000317,               0.000317
                     87,                0.57102,                 0.4861,                 1.0274,                0.98726,                0.96584,                0.99209,                0.92529,                0.39806,                0.31262,                0.87066,              0.0002972,              0.0002972,              0.0002972
                     88,                0.56097,                0.49485,                 1.0289,                0.98521,                0.96885,                0.99306,                0.93501,                0.37019,                0.30464,                0.86419,              0.0002774,              0.0002774,              0.0002774
                     89,                0.55128,                 0.4608,                 1.0056,                0.98506,                 0.9755,                0.99287,                0.93599,                0.36372,                0.29973,                0.86466,              0.0002576,              0.0002576,              0.0002576
                     90,                0.54069,                0.47257,                 1.0172,                0.97656,                0.97326,                0.99303,                0.92947,                0.38456,                0.30264,                0.86582,              0.0002378,              0.0002378,              0.0002378
                     91,                0.45304,                0.38745,                0.93501,                0.98264,                0.96961,                0.99334,                0.93344,                0.36721,                0.30044,                0.86498,               0.000218,               0.000218,               0.000218
                     92,                0.45055,                0.36854,                 0.9349,                0.98114,                 0.9725,                0.99274,                0.93357,                0.36617,                0.29987,                0.86001,              0.0001982,              0.0001982,              0.0001982
                     93,                0.43396,                0.34379,                0.93031,                0.98155,                0.97352,                0.99306,                0.93671,                 0.3614,                0.29272,                 0.8591,              0.0001784,              0.0001784,              0.0001784
                     94,                0.42801,                0.34661,                0.92845,                0.98029,                0.97975,                0.99256,                0.93494,                0.37689,                0.29427,                0.86036,              0.0001586,              0.0001586,              0.0001586
                     95,                0.41516,                 0.3406,                 0.9247,                0.99038,                0.97274,                0.99379,                0.94714,                0.34264,                0.28108,                0.85276,              0.0001388,              0.0001388,              0.0001388
                     96,                0.40715,                0.33063,                0.90443,                0.98511,                0.97876,                0.99348,                0.94459,                0.35188,                0.27834,                0.85296,               0.000119,               0.000119,               0.000119
                     97,                0.38737,                0.31864,                0.89763,                 0.9882,                 0.9786,                0.99392,                0.95095,                0.32845,                0.26915,                0.84643,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.39096,                0.32178,                0.90941,                0.98839,                0.98442,                 0.9942,                0.95091,                0.33319,                0.26688,                0.84368,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.38665,                0.30935,                0.90155,                0.99288,                 0.9778,                0.99425,                0.95435,                 0.3258,                0.26184,                0.84136,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.37144,                0.30787,                0.88357,                0.99282,                0.97897,                0.99428,                0.95521,                0.32065,                0.25894,                0.83936,               3.98e-05,               3.98e-05,               3.98e-05
